age,race,education,wage,Zip,1bed1bath,2bed1bath,mthly_income,res_hp_per_sqft,res_rent_per_sqft
18,3. Asian,2. Some College,75.04315402,94105,3500,5000,9005.178482,636.3636364,8.75
24,1. White,4. Master's Deg,70.47601965,94602,2600,3700,8457.122358,472.7272727,6.5
45,3. Asian,3. College Grad,130.9821774,94089,2800,3400,15717.86129,509.0909091,7
43,3. Asian,4. Master's Deg,154.685293,94105,3500,5000,18562.23516,636.3636364,8.75
50,1. White,2. Some College,75.04315402,94105,3500,5000,9005.178482,636.3636364,8.75
54,3. Asian,4. Master's Deg,127.1157438,94602,2600,3700,15253.88926,472.7272727,6.5
44,4. Other,3. College Grad,169.528538,94089,2800,3400,20343.42456,509.0909091,7
30,3. Asian,3. College Grad,111.7208494,94602,2600,3700,13406.50193,472.7272727,6.5
41,2. Black,3. College Grad,118.8843593,94037,2000,3850,14266.12312,363.6363636,5
52,1. White,2. Some College,128.6804882,95008,2200,3700,15441.65858,400,5.5
45,1. White,3. College Grad,117.1468169,94941,2900,3500,14057.61803,527.2727273,7.25
34,3. Asian,2. Some College,81.28325328,94105,3500,5000,9753.990394,636.3636364,8.75
35,1. White,2. Some College,89.49247952,94105,3500,5000,10739.09754,636.3636364,8.75
39,1. White,4. Master's Deg,134.7053751,94022,3100,4300,16164.64501,563.6363636,7.75
54,3. Asian,2. Some College,134.7053751,94022,3100,4300,16164.64501,563.6363636,7.75
51,3. Asian,3. College Grad,90.48191336,94105,3500,5000,10857.8296,636.3636364,8.75
37,3. Asian,4. Master's Deg,82.6796373,94089,2800,3400,9921.556476,509.0909091,7
50,1. White,1. PhD,212.8423523,94105,3500,5000,25541.08228,636.3636364,8.75
56,1. White,4. Master's Deg,129.156693,94089,2800,3400,15498.80316,509.0909091,7
37,1. White,3. College Grad,98.59934386,94941,2900,3500,11831.92126,527.2727273,7.25
38,3. Asian,4. Master's Deg,200.5432623,95008,2200,3700,24065.19148,400,5.5
40,3. Asian,2. Some College,50.40666086,94105,3500,5000,6048.799303,636.3636364,8.75
75,3. Asian,4. Master's Deg,85.38394038,95008,2200,3700,10246.07285,400,5.5
40,1. White,4. Master's Deg,160.6424754,94022,3100,4300,19277.09705,563.6363636,7.75
38,3. Asian,2. Some College,94.07271475,94602,2600,3700,11288.72577,472.7272727,6.5
49,1. White,5. Advanced Degree,277.6014175,94089,2800,3400,33312.1701,509.0909091,7
43,1. White,2. Some College,84.04595765,94037,2000,3850,10085.51492,363.6363636,5
34,4. Other,2. Some College,65.11085372,94089,2800,3400,7813.302446,509.0909091,7
57,3. Asian,2. Some College,116.2653241,95008,2200,3700,13951.83889,400,5.5
18,2. Black,2. Some College,70.47601965,94089,2800,3400,8457.122358,509.0909091,7
55,1. White,5. Advanced Degree,195.676308,94602,2600,3700,23481.15696,472.7272727,6.5
51,1. White,3. College Grad,101.4020523,95008,2200,3700,12168.24628,400,5.5
33,3. Asian,5. Advanced Degree,81.28325328,95008,2200,3700,9753.990394,400,5.5
34,1. White,2. Some College,111.7208494,95008,2200,3700,13406.50193,400,5.5
36,3. Asian,4. Master's Deg,89.88004678,95008,2200,3700,10785.60561,400,5.5
56,1. White,5. Advanced Degree,87.98103279,94089,2800,3400,10557.72393,509.0909091,7
70,1. White,4. Master's Deg,87.98103279,95008,2200,3700,10557.72393,400,5.5
25,1. White,4. Master's Deg,103.9024706,94037,2000,3850,12468.29647,363.6363636,5
32,3. Asian,3. College Grad,105.9278108,95008,2200,3700,12711.3373,400,5.5
27,1. White,2. Some College,66.22940829,94105,3500,5000,7947.528995,636.3636364,8.75
28,3. Asian,4. Master's Deg,34.60741773,94037,2000,3850,4152.890128,363.6363636,5
27,1. White,4. Master's Deg,109.8339856,94022,3100,4300,13180.07827,563.6363636,7.75
43,3. Asian,2. Some College,45.28216999,94602,2600,3700,5433.860399,472.7272727,6.5
50,4. Other,2. Some College,73.77574327,94089,2800,3400,8853.089192,509.0909091,7
39,2. Black,2. Some College,81.28325328,94941,2900,3500,9753.990394,527.2727273,7.25
52,1. White,5. Advanced Degree,154.685293,94037,2000,3850,18562.23516,363.6363636,5
35,3. Asian,4. Master's Deg,267.9010869,94602,2600,3700,32148.13043,472.7272727,6.5
57,1. White,1. PhD,176.9896505,94022,3100,4300,21238.75806,563.6363636,7.75
25,3. Asian,2. Some College,66.22940829,94602,2600,3700,7947.528995,472.7272727,6.5
33,1. White,2. Some College,116.2653241,94941,2900,3500,13951.83889,527.2727273,7.25
57,1. White,5. Advanced Degree,200.5432623,94941,2900,3500,24065.19148,527.2727273,7.25
71,1. White,3. College Grad,101.8243521,94105,3500,5000,12218.92225,636.3636364,8.75
43,1. White,4. Master's Deg,272.2947832,94022,3100,4300,32675.37398,563.6363636,7.75
23,1. White,3. College Grad,35.03342132,94022,3100,4300,4204.010558,563.6363636,7.75
30,1. White,5. Advanced Degree,114.4757133,94602,2600,3700,13737.0856,472.7272727,6.5
22,2. Black,2. Some College,81.28325328,95008,2200,3700,9753.990394,400,5.5
59,1. White,5. Advanced Degree,200.5432623,94105,3500,5000,24065.19148,636.3636364,8.75
28,3. Asian,4. Master's Deg,148.4131591,94941,2900,3500,17809.57909,527.2727273,7.25
61,3. Asian,2. Some College,99.6894637,95008,2200,3700,11962.73564,400,5.5
34,1. White,2. Some College,111.7208494,94941,2900,3500,13406.50193,527.2727273,7.25
